year,oshpd_id,county,hospital,performance_measure,hospital_rating,#_of_cases,#_of_adverse_events,risk_adjusted_rate
2020,106440755,santa cruz,dominican hospital,isolated cabg operative mortality,average,68.0,1.0,2.59
2021,106440755,santa cruz,dominican hospital,cabg+valve operative mortality,average,145.0,2.0,6.52
2021,106440755,santa cruz,dominican hospital,isolated cabg 30-day readmission,average,145.0,8.0,11.12
2021,106440755,santa cruz,dominican hospital,isolated cabg post-operative stroke,average,145.0,2.0,2.65
2022,106440755,santa cruz,dominican hospital,isolated cabg operative mortality,average,70.0,1.0,2.2
2011,106440755,santa cruz,dominican hospital - santa cruz/soquel,post-operative stroke,average,105.0,2.0,2.14
2012,106440755,santa cruz,dominican hospital - santa cruz/soquel,30-day readmission,average,52.0,7.0,14.97
2012,106440755,santa cruz,dominican hospital - santa cruz/soquel,operative mortality,average,58.0,2.0,3.85
2013,106440755,santa cruz,dominican hospital - santa cruz/soquel,30-day readmission,average,53.0,6.0,11.01
2013,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg + valve operative mortality,average,26.0,3.0,14.66
2013,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg operative mortality,average,64.0,0.0,0.0
2013,106440755,santa cruz,dominican hospital - santa cruz/soquel,post-operative stroke,average,122.0,0.0,0.0
2014,106440755,santa cruz,dominican hospital - santa cruz/soquel,30-day readmission,average,113.0,9.0,8.41
2014,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg + valve operative mortality,average,55.0,7.0,11.26
2014,106440755,santa cruz,dominican hospital - santa cruz/soquel,post-operative stroke,average,138.0,1.0,0.74
2015,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg + valve operative mortality,average,52.0,8.0,8.51
2015,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg 30-day readmission,average,113.0,13.0,11.22
2015,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg operative mortality,average,75.0,3.0,3.51
2015,106440755,santa cruz,dominican hospital - santa cruz/soquel,post-operative stroke,average,132.0,0.0,0.0
2016,106440755,santa cruz,dominican hospital - santa cruz/soquel,cabg operative mortality,average,57.0,1.0,0.82
2013,106440755,santa cruz,dominican hospital  santa cruz/soquel,cabg + valve operative mortality,worse,36.0,5.0,18.68
2013,106440755,santa cruz,dominican hospital  santa cruz/soquel,post-operative stroke,average,127.0,1.0,0.84
2014,106440755,santa cruz,dominican hospital  santa cruz/soquel,cabg operative mortality,average,63.0,0.0,0.0
2011,106450949,shasta,mercy medical center - redding,post-operative stroke,average,206.0,2.0,1.07
2012,106450949,shasta,mercy medical center - redding,30-day readmission,average,101.0,13.0,11.8
2012,106450949,shasta,mercy medical center - redding,operative mortality,average,104.0,2.0,1.5
2013,106450949,shasta,mercy medical center - redding,30-day readmission,average,93.0,5.0,5.71
2013,106450949,shasta,mercy medical center - redding,cabg + valve operative mortality,average,43.0,2.0,3.45
2013,106450949,shasta,mercy medical center - redding,cabg operative mortality,average,100.0,2.0,1.49
2013,106450949,shasta,mercy medical center - redding,post-operative stroke,average,204.0,2.0,1.01
2014,106450949,shasta,mercy medical center - redding,30-day readmission,average,225.0,23.0,10.19
2014,106450949,shasta,mercy medical center - redding,cabg + valve operative mortality,average,48.0,6.0,11.38
2014,106450949,shasta,mercy medical center - redding,post-operative stroke,average,245.0,2.0,0.75
2015,106450949,shasta,mercy medical center - redding,cabg + valve operative mortality,average,40.0,4.0,9.84
2015,106450949,shasta,mercy medical center - redding,cabg 30-day readmission,average,166.0,20.0,11.38
2015,106450949,shasta,mercy medical center - redding,cabg operative mortality,average,117.0,4.0,2.61
2015,106450949,shasta,mercy medical center - redding,post-operative stroke,average,191.0,4.0,1.91
2016,106450949,shasta,mercy medical center - redding,cabg + valve operative mortality,average,13.0,2.0,19.17
2016,106450949,shasta,mercy medical center - redding,cabg operative mortality,average,74.0,5.0,4.21
2016,106450949,shasta,mercy medical center - redding,post-operative stroke,average,125.0,3.0,1.8
2017,106450949,shasta,mercy medical center - redding,cabg + valve operative mortality,average,5.0,1.0,37.32
2017,106450949,shasta,mercy medical center - redding,cabg 30-day readmission,average,79.0,12.0,13.42
2017,106450949,shasta,mercy medical center - redding,cabg operative mortality,average,51.0,3.0,4.01
2017,106450949,shasta,mercy medical center - redding,post-operative stroke,average,85.0,0.0,0.0
2018,106450949,shasta,mercy medical center - redding,cabg operative mortality,average,34.0,2.0,3.15
2018,106450949,shasta,mercy medical center - redding,cabg+valve operative mortality,average,96.0,0.0,0.0
2018,106450949,shasta,mercy medical center - redding,isolated cabg 30-day readmission,average,96.0,14.0,15.75
2018,106450949,shasta,mercy medical center - redding,isolated cabg post-operative stroke,average,96.0,1.0,1.03
2019,106450949,shasta,mercy medical center - redding,cabg+valve operative mortality,average,130.0,0.0,0.0
2019,106450949,shasta,mercy medical center - redding,isolated cabg 30-day readmission,average,130.0,12.0,10.49
2019,106450949,shasta,mercy medical center - redding,isolated cabg operative mortality,average,59.0,3.0,4.45
2019,106450949,shasta,mercy medical center - redding,isolated cabg post-operative stroke,average,130.0,1.0,0.74
2020,106450949,shasta,mercy medical center - redding,isolated cabg operative mortality,average,71.0,4.0,3.81
2013,106450949,shasta,mercy medical center  redding,cabg + valve operative mortality,average,33.0,4.0,13.98
2013,106450949,shasta,mercy medical center  redding,post-operative stroke,average,228.0,1.0,0.4
2014,106450949,shasta,mercy medical center  redding,cabg operative mortality,average,128.0,4.0,2.04
2021,106450949,shasta,mercy medical center â redding,cabg+valve operative mortality,average,142.0,1.0,8.18
2021,106450949,shasta,mercy medical center â redding,isolated cabg 30-day readmission,average,142.0,22.0,16.79
2021,106450949,shasta,mercy medical center â redding,isolated cabg post-operative stroke,average,142.0,2.0,1.44
2022,106450949,shasta,mercy medical center â redding,isolated cabg operative mortality,average,77.0,6.0,6.19
2011,10645094,shasta,shasta regional medical center,post-operative stroke,average,128.0,0.0,0.0
2012,10645094,shasta,shasta regional medical center,30-day readmission,average,66.0,8.0,13.45
2012,10645094,shasta,shasta regional medical center,operative mortality,average,69.0,2.0,3.52
2013,10645094,shasta,shasta regional medical center,30-day readmission,worse,73.0,14.0,22.45
2013,10645094,shasta,shasta regional medical center,cabg + valve operative mortality,average,17.0,0.0,0.0
2013,10645094,shasta,shasta regional medical center,cabg operative mortality,average,81.0,4.0,4.77
2013,10645094,shasta,shasta regional medical center,post-operative stroke,average,150.0,3.0,2.69
2013,10645094,shasta,shasta regional medical center,post-operative stroke,worse,136.0,5.0,4.36
2014,10645094,shasta,shasta regional medical center,30-day readmission,average,117.0,12.0,10.18
2014,10645094,shasta,shasta regional medical center,cabg + valve operative mortality,average,19.0,0.0,0.0
2014,10645094,shasta,shasta regional medical center,cabg operative mortality,average,55.0,1.0,1.78
2014,10645094,shasta,shasta regional medical center,post-operative stroke,average,125.0,2.0,1.59
2015,10645094,shasta,shasta regional medical center,cabg + valve operative mortality,average,31.0,1.0,1.9
2015,10645094,shasta,shasta regional medical center,cabg 30-day readmission,average,148.0,16.0,10.96
2015,10645094,shasta,shasta regional medical center,cabg operative mortality,average,70.0,0.0,0.0
2015,10645094,shasta,shasta regional medical center,post-operative stroke,average,154.0,0.0,0.0
2016,10645094,shasta,shasta regional medical center,cabg + valve operative mortality,average,31.0,1.0,2.52
2016,10645094,shasta,shasta regional medical center,cabg operative mortality,average,84.0,1.0,1.41
2016,10645094,shasta,shasta regional medical center,post-operative stroke,average,205.0,1.0,0.53
2017,10645094,shasta,shasta regional medical center,cabg + valve operative mortality,average,31.0,1.0,5.03
2017,10645094,shasta,shasta regional medical center,cabg 30-day readmission,average,212.0,23.0,11.64
2017,10645094,shasta,shasta regional medical center,cabg operative mortality,average,121.0,5.0,4.59
2017,10645094,shasta,shasta regional medical center,post-operative stroke,average,229.0,2.0,0.96
2018,10645094,shasta,shasta regional medical center,cabg operative mortality,average,108.0,5.0,5.72
2018,10645094,shasta,shasta regional medical center,cabg+valve operative mortality,average,262.0,2.0,5.45
2018,10645094,shasta,shasta regional medical center,isolated cabg 30-day readmission,average,262.0,27.0,13.28
2018,10645094,shasta,shasta regional medical center,isolated cabg post-operative stroke,average,262.0,3.0,1.61
2019,10645094,shasta,shasta regional medical center,cabg+valve operative mortality,average,215.0,3.0,8.25
2019,10645094,shasta,shasta regional medical center,isolated cabg 30-day readmission,average,215.0,22.0,13.86
2019,10645094,shasta,shasta regional medical center,isolated cabg operative mortality,average,125.0,4.0,3.48
2019,10645094,shasta,shasta regional medical center,isolated cabg post-operative stroke,average,215.0,2.0,1.32
2020,10645094,shasta,shasta regional medical center,isolated cabg operative mortality,average,90.0,2.0,2.49
2021,10645094,shasta,shasta regional medical center,cabg+valve operative mortality,average,164.0,3.0,13.68
2021,10645094,shasta,shasta regional medical center,isolated cabg 30-day readmission,average,164.0,18.0,15.05
2021,10645094,shasta,shasta regional medical center,isolated cabg post-operative stroke,average,164.0,1.0,1.0
2022,10645094,shasta,shasta regional medical center,isolated cabg operative mortality,average,83.0,1.0,1.63
2011,106481357,solano,north bay medical center,post-operative stroke,average,88.0,3.0,3.38
2012,106481357,solano,north bay medical center,30-day readmission,average,49.0,8.0,16.36
2012,106481357,solano,north bay medical center,operative mortality,average,56.0,2.0,4.65
2013,106481357,solano,north bay medical center,30-day readmission,average,43.0,6.0,12.55
2013,106481357,solano,north bay medical center,cabg + valve operative mortality,average,6.0,2.0,31.87
2013,106481357,solano,north bay medical center,cabg operative mortality,average,49.0,1.0,1.81
2013,106481357,solano,north bay medical center,post-operative stroke,average,84.0,0.0,0.0
2014,106481357,solano,north bay medical center,30-day readmission,average,85.0,14.0,15.93
2014,106481357,solano,north bay medical center,cabg + valve operative mortality,worse,3.0,2.0,53.0
2014,106481357,solano,north bay medical center,cabg operative mortality,average,35.0,1.0,2.31
2014,106481357,solano,north bay medical center,post-operative stroke,average,88.0,0.0,0.0
2015,106481357,solano,north bay medical center,cabg + valve operative mortality,average,5.0,2.0,31.6
2015,106481357,solano,north bay medical center,cabg 30-day readmission,worse,85.0,18.0,21.6
2015,106481357,solano,north bay medical center,cabg operative mortality,average,53.0,2.0,5.16
2015,106481357,solano,north bay medical center,post-operative stroke,average,91.0,0.0,0.0
2016,106481357,solano,north bay medical center,cabg + valve operative mortality,average,5.0,0.0,0.0
2016,106481357,solano,north bay medical center,cabg operative mortality,worse,38.0,4.0,8.75
2016,106481357,solano,north bay medical center,post-operative stroke,average,80.0,0.0,0.0
2017,106481357,solano,north bay medical center,cabg + valve operative mortality,worse,6.0,2.0,44.45
2017,106481357,solano,north bay medical center,cabg 30-day readmission,average,78.0,8.0,9.32
2017,106481357,solano,north bay medical center,cabg operative mortality,average,42.0,0.0,0.0
2017,106481357,solano,north bay medical center,post-operative stroke,average,89.0,0.0,0.0
2018,106481357,solano,north bay medical center,cabg operative mortality,average,47.0,1.0,1.77
2018,106481357,solano,north bay medical center,cabg+valve operative mortality,worse,105.0,2.0,47.35
2018,106481357,solano,north bay medical center,isolated cabg 30-day readmission,average,105.0,10.0,11.27
2018,106481357,solano,north bay medical center,isolated cabg post-operative stroke,average,105.0,2.0,2.07
2019,106481357,solano,north bay medical center,cabg+valve operative mortality,average,138.0,0.0,0.0
2019,106481357,solano,north bay medical center,isolated cabg 30-day readmission,average,138.0,8.0,7.55
2019,106481357,solano,north bay medical center,isolated cabg operative mortality,average,54.0,2.0,3.38
2019,106481357,solano,north bay medical center,isolated cabg post-operative stroke,average,138.0,5.0,3.58
2020,106481357,solano,north bay medical center,isolated cabg operative mortality,average,84.0,4.0,6.68
2021,106481357,solano,northbay medical center,cabg+valve operative mortality,average,146.0,0.0,0.0
2021,106481357,solano,northbay medical center,isolated cabg 30-day readmission,average,146.0,11.0,10.91
2021,106481357,solano,northbay medical center,isolated cabg post-operative stroke,average,146.0,1.0,0.75
2022,106481357,solano,northbay medical center,isolated cabg operative mortality,worse,69.0,8.0,13.07
2019,106491064,sonoma,providence santa rosa memorial hospital - montgomery,cabg+valve operative mortality,average,143.0,0.0,0.0
2019,106491064,sonoma,providence santa rosa memorial hospital - montgomery,isolated cabg 30-day readmission,average,143.0,6.0,6.38
2019,106491064,sonoma,providence santa rosa memorial hospital - montgomery,isolated cabg post-operative stroke,average,143.0,0.0,0.0
2020,106491064,sonoma,providence santa rosa memorial hospital - montgomery,isolated cabg operative mortality,average,85.0,1.0,1.26
2021,106491064,sonoma,providence santa rosa memorial hospital â montgomery,cabg+valve operative mortality,average,127.0,2.0,10.19
2021,106491064,sonoma,providence santa rosa memorial hospital â montgomery,isolated cabg 30-day readmission,average,127.0,12.0,13.84
2021,106491064,sonoma,providence santa rosa memorial hospital â montgomery,isolated cabg post-operative stroke,average,127.0,2.0,2.08
2022,106491064,sonoma,providence santa rosa memorial hospital â montgomery,isolated cabg operative mortality,average,64.0,0.0,0.0
2011,106491064,sonoma,santa rosa memorial hospital - montgomery,post-operative stroke,average,148.0,0.0,0.0
2012,106491064,sonoma,santa rosa memorial hospital - montgomery,30-day readmission,average,55.0,4.0,7.98
2012,106491064,sonoma,santa rosa memorial hospital - montgomery,operative mortality,average,61.0,2.0,3.2
2013,106491064,sonoma,santa rosa memorial hospital - montgomery,30-day readmission,average,69.0,2.0,3.51
2013,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg + valve operative mortality,average,24.0,1.0,4.92
2013,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg operative mortality,average,73.0,2.0,2.07
2013,106491064,sonoma,santa rosa memorial hospital - montgomery,post-operative stroke,average,134.0,0.0,0.0
2014,106491064,sonoma,santa rosa memorial hospital - montgomery,30-day readmission,average,141.0,10.0,7.23
2014,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg + valve operative mortality,average,22.0,1.0,3.84
2014,106491064,sonoma,santa rosa memorial hospital - montgomery,post-operative stroke,average,161.0,1.0,0.69
2015,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg + valve operative mortality,average,32.0,1.0,3.89
2015,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg 30-day readmission,better,145.0,8.0,5.63
2015,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg operative mortality,average,90.0,0.0,0.0
2015,106491064,sonoma,santa rosa memorial hospital - montgomery,post-operative stroke,average,156.0,1.0,0.78
2016,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg + valve operative mortality,average,40.0,1.0,2.6
2016,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg operative mortality,average,66.0,1.0,1.88
2016,106491064,sonoma,santa rosa memorial hospital - montgomery,post-operative stroke,average,132.0,1.0,0.98
2017,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg + valve operative mortality,average,45.0,1.0,3.13
2017,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg 30-day readmission,better,141.0,6.0,5.03
2017,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg operative mortality,average,66.0,1.0,3.23
2017,106491064,sonoma,santa rosa memorial hospital - montgomery,post-operative stroke,average,152.0,2.0,1.83
2018,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg operative mortality,average,86.0,2.0,3.53
2018,106491064,sonoma,santa rosa memorial hospital - montgomery,cabg+valve operative mortality,average,168.0,0.0,0.0
2018,106491064,sonoma,santa rosa memorial hospital - montgomery,isolated cabg 30-day readmission,better,168.0,6.0,5.25
2018,106491064,sonoma,santa rosa memorial hospital - montgomery,isolated cabg post-operative stroke,average,168.0,2.0,1.79
2019,106491064,sonoma,santa rosa memorial hospital - montgomery,isolated cabg operative mortality,average,58.0,0.0,0.0
2013,106491064,sonoma,santa rosa memorial hospital  montgomery,cabg + valve operative mortality,average,21.0,1.0,4.23
2013,106491064,sonoma,santa rosa memorial hospital  montgomery,post-operative stroke,average,144.0,1.0,0.69
2014,106491064,sonoma,santa rosa memorial hospital  montgomery,cabg operative mortality,average,71.0,0.0,0.0
2011,106490919,sonoma,sutter medical center of santa rosa,post-operative stroke,average,131.0,1.0,1.21
2012,106490919,sonoma,sutter medical center of santa rosa,30-day readmission,average,60.0,5.0,8.89
2012,106490919,sonoma,sutter medical center of santa rosa,operative mortality,average,66.0,0.0,0.0
2013,106490919,sonoma,sutter medical center of santa rosa,30-day readmission,average,50.0,5.0,13.22
2013,106490919,sonoma,sutter medical center of santa rosa,cabg + valve operative mortality,average,32.0,1.0,3.83
2013,106490919,sonoma,sutter medical center of santa rosa,cabg operative mortality,average,54.0,2.0,6.25
2013,106490919,sonoma,sutter medical center of santa rosa,post-operative stroke,average,120.0,2.0,2.65
2013,106490919,sonoma,sutter santa rosa regional hospital,cabg + valve operative mortality,average,22.0,1.0,5.77
2013,106490919,sonoma,sutter santa rosa regional hospital,post-operative stroke,average,106.0,2.0,2.67
2014,106490919,sonoma,sutter santa rosa regional hospital,cabg operative mortality,average,52.0,0.0,0.0
2014,106494106,sonoma,sutter santa rosa regional hospital,30-day readmission,average,90.0,3.0,4.4
2014,106494106,sonoma,sutter santa rosa regional hospital,cabg + valve operative mortality,average,23.0,2.0,11.82
2014,106494106,sonoma,sutter santa rosa regional hospital,post-operative stroke,average,101.0,1.0,1.38
2015,106494106,sonoma,sutter santa rosa regional hospital,cabg + valve operative mortality,average,20.0,1.0,6.83
2015,106494106,sonoma,sutter santa rosa regional hospital,cabg 30-day readmission,average,72.0,4.0,6.72
2015,106494106,sonoma,sutter santa rosa regional hospital,cabg operative mortality,average,49.0,2.0,5.28
2015,106494106,sonoma,sutter santa rosa regional hospital,post-operative stroke,average,81.0,0.0,0.0
2016,106494106,sonoma,sutter santa rosa regional hospital,cabg + valve operative mortality,average,14.0,0.0,0.0
2016,106494106,sonoma,sutter santa rosa regional hospital,cabg operative mortality,average,32.0,0.0,0.0
2016,106494106,sonoma,sutter santa rosa regional hospital,post-operative stroke,average,64.0,0.0,0.0
2017,106494106,sonoma,sutter santa rosa regional hospital,cabg + valve operative mortality,average,19.0,2.0,8.45
2017,106494106,sonoma,sutter santa rosa regional hospital,cabg 30-day readmission,average,66.0,8.0,12.91
2017,106494106,sonoma,sutter santa rosa regional hospital,cabg operative mortality,average,32.0,0.0,0.0
2017,106494106,sonoma,sutter santa rosa regional hospital,post-operative stroke,average,75.0,0.0,0.0
2018,106494106,sonoma,sutter santa rosa regional hospital,cabg operative mortality,average,43.0,0.0,0.0
2018,106494106,sonoma,sutter santa rosa regional hospital,cabg+valve operative mortality,average,114.0,3.0,10.62
2018,106494106,sonoma,sutter santa rosa regional hospital,isolated cabg 30-day readmission,average,114.0,8.0,12.62
2018,106494106,sonoma,sutter santa rosa regional hospital,isolated cabg post-operative stroke,average,114.0,1.0,1.72
2019,106494106,sonoma,sutter santa rosa regional hospital,cabg+valve operative mortality,average,66.0,1.0,11.65
2019,106494106,sonoma,sutter santa rosa regional hospital,isolated cabg 30-day readmission,average,66.0,2.0,5.6
2019,106494106,sonoma,sutter santa rosa regional hospital,isolated cabg operative mortality,average,54.0,1.0,4.28
2019,106494106,sonoma,sutter santa rosa regional hospital,isolated cabg post-operative stroke,average,66.0,1.0,2.05
2020,106494106,sonoma,sutter santa rosa regional hospital,isolated cabg operative mortality,average,12.0,0.0,0.0
2011,106500852,stanislaus,doctors medical center,post-operative stroke,average,464.0,5.0,0.94
2012,106500852,stanislaus,doctors medical center,30-day readmission,average,199.0,20.0,8.81
2012,106500852,stanislaus,doctors medical center,operative mortality,average,222.0,6.0,2.11
2013,106500852,stanislaus,doctors medical center,30-day readmission,average,165.0,24.0,12.67
2013,106500852,stanislaus,doctors medical center,cabg + valve operative mortality,average,89.0,8.0,6.66
2013,106500852,stanislaus,doctors medical center,cabg operative mortality,average,190.0,7.0,2.72
2013,106500852,stanislaus,doctors medical center,post-operative stroke,average,434.0,4.0,0.76
2014,106500852,stanislaus,doctors medical center,30-day readmission,average,420.0,42.0,9.47
2014,106500852,stanislaus,doctors medical center,cabg + valve operative mortality,average,95.0,11.0,9.42
2014,106500852,stanislaus,doctors medical center,cabg operative mortality,average,244.0,6.0,1.81
2014,106500852,stanislaus,doctors medical center,post-operative stroke,average,475.0,7.0,1.25
2015,106500852,stanislaus,doctors medical center,cabg + valve operative mortality,average,93.0,9.0,7.53
2015,106500852,stanislaus,doctors medical center,cabg 30-day readmission,average,435.0,56.0,12.44
2015,106500852,stanislaus,doctors medical center,cabg operative mortality,average,231.0,5.0,1.65
2015,106500852,stanislaus,doctors medical center,post-operative stroke,average,492.0,12.0,2.14
2016,106500852,stanislaus,doctors medical center,cabg + valve operative mortality,average,87.0,6.0,4.99
2016,106500852,stanislaus,doctors medical center,cabg operative mortality,average,261.0,10.0,2.99
2016,106500852,stanislaus,doctors medical center,post-operative stroke,average,547.0,13.0,2.21
2017,106500852,stanislaus,doctors medical center,cabg + valve operative mortality,average,73.0,6.0,6.46
2017,106500852,stanislaus,doctors medical center,cabg 30-day readmission,average,481.0,60.0,11.26
2017,106500852,stanislaus,doctors medical center,cabg operative mortality,average,286.0,7.0,2.06
2017,106500852,stanislaus,doctors medical center,post-operative stroke,average,574.0,10.0,1.51
2018,106500852,stanislaus,doctors medical center,cabg operative mortality,average,288.0,16.0,3.66
2018,106500852,stanislaus,doctors medical center,cabg+valve operative mortality,average,720.0,6.0,6.85
2018,106500852,stanislaus,doctors medical center,isolated cabg 30-day readmission,average,720.0,69.0,12.46
2018,106500852,stanislaus,doctors medical center,isolated cabg post-operative stroke,average,720.0,11.0,1.45
2019,106500852,stanislaus,doctors medical center,cabg+valve operative mortality,average,643.0,7.0,8.97
2019,106500852,stanislaus,doctors medical center,isolated cabg 30-day readmission,average,643.0,65.0,13.57
2019,106500852,stanislaus,doctors medical center,isolated cabg operative mortality,average,381.0,15.0,3.12
2019,106500852,stanislaus,doctors medical center,isolated cabg post-operative stroke,average,643.0,11.0,1.72
2020,106500852,stanislaus,doctors medical center,isolated cabg operative mortality,average,262.0,10.0,3.27
2021,106500852,stanislaus,doctors medical center,cabg+valve operative mortality,average,510.0,3.0,7.09
2021,106500852,stanislaus,doctors medical center,isolated cabg 30-day readmission,worse,510.0,49.0,15.27
2021,106500852,stanislaus,doctors medical center,isolated cabg post-operative stroke,average,510.0,10.0,1.96
2022,106500852,stanislaus,doctors medical center,isolated cabg operative mortality,worse,252.0,15.0,6.04
2011,106500867,stanislaus,emanuel medical center,post-operative stroke,average,31.0,0.0,0.0
2012,106500867,stanislaus,emanuel medical center,30-day readmission,average,12.0,0.0,0.0
2012,106500867,stanislaus,emanuel medical center,operative mortality,average,15.0,0.0,0.0
2013,106500867,stanislaus,emanuel medical center,30-day readmission,average,46.0,9.0,17.4
2013,106500867,stanislaus,emanuel medical center,cabg + valve operative mortality,average,5.0,0.0,0.0
2013,106500867,stanislaus,emanuel medical center,cabg operative mortality,average,47.0,0.0,0.0
2013,106500867,stanislaus,emanuel medical center,post-operative stroke,average,120.0,1.0,0.72
2014,106500867,stanislaus,emanuel medical center,30-day readmission,average,101.0,14.0,11.9
2014,106500867,stanislaus,emanuel medical center,cabg + valve operative mortality,average,5.0,0.0,0.0
2014,106500867,stanislaus,emanuel medical center,cabg operative mortality,average,73.0,2.0,2.56
2014,106500867,stanislaus,emanuel medical center,post-operative stroke,average,131.0,2.0,1.28
2015,106500867,stanislaus,emanuel medical center,cabg + valve operative mortality,average,3.0,0.0,0.0
2015,106500867,stanislaus,emanuel medical center,cabg 30-day readmission,average,57.0,6.0,11.38
2015,106500867,stanislaus,emanuel medical center,cabg operative mortality,average,58.0,4.0,5.64
2015,106500867,stanislaus,emanuel medical center,post-operative stroke,average,90.0,1.0,1.09
2016,106500867,stanislaus,emanuel medical center,cabg + valve operative mortality,average,1.0,0.0,0.0
2016,106500867,stanislaus,emanuel medical center,cabg operative mortality,average,32.0,1.0,4.78
2016,106500867,stanislaus,emanuel medical center,post-operative stroke,average,32.0,0.0,0.0
2011,106500939,stanislaus,memorial hospital medical center - modesto,post-operative stroke,average,319.0,6.0,1.89
2012,106500939,stanislaus,memorial hospital medical center - modesto,30-day readmission,average,123.0,13.0,10.33
2012,106500939,stanislaus,memorial hospital medical center - modesto,operative mortality,average,133.0,1.0,0.85
2013,106500939,stanislaus,memorial hospital medical center - modesto,30-day readmission,average,146.0,17.0,12.01
2013,106500939,stanislaus,memorial hospital medical center - modesto,cabg + valve operative mortality,average,58.0,7.0,9.11
2013,106500939,stanislaus,memorial hospital medical center - modesto,cabg operative mortality,average,156.0,4.0,2.28
2013,106500939,stanislaus,memorial hospital medical center - modesto,post-operative stroke,average,289.0,4.0,1.46
2014,106500939,stanislaus,memorial hospital medical center - modesto,30-day readmission,average,271.0,31.0,10.44
2014,106500939,stanislaus,memorial hospital medical center - modesto,cabg + valve operative mortality,average,65.0,4.0,5.59
2014,106500939,stanislaus,memorial hospital medical center - modesto,post-operative stroke,average,286.0,4.0,1.32
2015,106500939,stanislaus,memorial hospital medical center - modesto,cabg + valve operative mortality,average,70.0,4.0,4.68
2015,106500939,stanislaus,memorial hospital medical center - modesto,cabg 30-day readmission,average,244.0,40.0,14.55
2015,106500939,stanislaus,memorial hospital medical center - modesto,cabg operative mortality,average,135.0,4.0,2.54
2015,106500939,stanislaus,memorial hospital medical center - modesto,post-operative stroke,average,266.0,2.0,0.76
2016,106500939,stanislaus,memorial hospital medical center - modesto,cabg operative mortality,average,131.0,6.0,2.71
2013,106500939,stanislaus,memorial hospital medical center  modesto,cabg + valve operative mortality,average,62.0,8.0,10.06
2013,106500939,stanislaus,memorial hospital medical center  modesto,post-operative stroke,average,307.0,5.0,1.41
2014,106500939,stanislaus,memorial hospital medical center  modesto,cabg operative mortality,average,151.0,3.0,1.57
2016,106500939,stanislaus,memorial medical center - modesto,cabg + valve operative mortality,average,58.0,7.0,9.05
2016,106500939,stanislaus,memorial medical center - modesto,post-operative stroke,average,256.0,2.0,0.72
2017,106500939,stanislaus,memorial medical center - modesto,cabg + valve operative mortality,worse,41.0,9.0,13.13
2017,106500939,stanislaus,memorial medical center - modesto,cabg 30-day readmission,average,234.0,30.0,11.58
2017,106500939,stanislaus,memorial medical center - modesto,cabg operative mortality,average,125.0,4.0,1.92
2017,106500939,stanislaus,memorial medical center - modesto,post-operative stroke,average,249.0,2.0,0.78
2018,106500939,stanislaus,memorial medical center - modesto,cabg operative mortality,average,124.0,6.0,5.19
2018,106500939,stanislaus,memorial medical center - modesto,cabg+valve operative mortality,average,355.0,6.0,8.61
2018,106500939,stanislaus,memorial medical center - modesto,isolated cabg 30-day readmission,average,355.0,33.0,13.13
2018,106500939,stanislaus,memorial medical center - modesto,isolated cabg post-operative stroke,average,355.0,2.0,0.71
2019,106500939,stanislaus,memorial medical center - modesto,cabg+valve operative mortality,average,324.0,1.0,3.87
2019,106500939,stanislaus,memorial medical center - modesto,isolated cabg 30-day readmission,average,324.0,30.0,12.71
2019,106500939,stanislaus,memorial medical center - modesto,isolated cabg operative mortality,average,186.0,8.0,3.56
2019,106500939,stanislaus,memorial medical center - modesto,isolated cabg post-operative stroke,average,324.0,2.0,0.78
2020,106500939,stanislaus,memorial medical center - modesto,isolated cabg operative mortality,worse,138.0,8.0,8.39
2021,106500939,stanislaus,memorial medical center â modesto,cabg+valve operative mortality,average,263.0,3.0,9.95
2021,106500939,stanislaus,memorial medical center â modesto,isolated cabg 30-day readmission,average,263.0,28.0,15.62
2021,106500939,stanislaus,memorial medical center â modesto,isolated cabg post-operative stroke,average,263.0,3.0,1.58
2022,106500939,stanislaus,memorial medical center â modesto,isolated cabg operative mortality,average,120.0,5.0,5.58
2011,106540734,tulare,kaweah delta medical center,post-operative stroke,average,342.0,8.0,2.25
2012,106540734,tulare,kaweah delta medical center,30-day readmission,average,133.0,20.0,14.4
2012,106540734,tulare,kaweah delta medical center,operative mortality,average,141.0,3.0,2.41
2013,106540734,tulare,kaweah delta medical center,30-day readmission,average,150.0,16.0,10.7
